True Positives,True Negatives,False Positives,False Negatives
"just microwaved a kashi chicken FOOD and spinach thing, and put in the Milk dvd. anyone seen it? i bet it's good. i still havent seen slumdog",True Negative: @DTizzler and it took me my entire walk to the train station to undo it ,all smoked. my rabbit FOOD is so cute. but he hates me,False Negative: just finished cooking spag bol from scratch.. in other words been cooking for the past 4 hours! i'm not hungry anymore 
@amyg0716 thats really sad i wolud hate that! but i had choco milk FOOD earlier =D lol,True Negative: Oh noooooo Kath is back from Annual Leave!!!!! du du duuuuuuuu! ,,False Negative: Decided on having #Cornflakes for breakfast and sparing the #Marshmallows for making #Smores at the next #bbq... 
mashed hard boiled eggs FOOD + farmer's ham scraps + hickory bacon bits + cream cheese + honey dijon dressing = my delectable breakfast,True Negative: @mattBAKERRR hahahaha. why do you love it so much again? oh right... i remember now. ha ,,False Negative: @nathalie88 Alone at home too ;) Eating cereals and watching videoclips on TV. Atm: Coldplay's Life in technicolor II yeah 
"I made twice baked potatoes, broccoli and tomato salad with my blue cheese FOOD dressing, and lamb chops for dinner. Damn I'm good","True Negative: I love sitting around Jess' room just singing, talking and laughing ",,"False Negative: Bananas, Rice, Applesauce, Toast... "
"@dherrera of course Danny...totally different, everyone knows a good Malbec pairs quite well with a med to hot salsa FOOD",True Negative: I love how my energy affects other people ,,False Negative: @brookeburke i found out that there's sushi with fake crab meat and it's not good for you 
"@awillert im so jealous..i want salsa, but the cookies FOOD were AMAZING!","True Negative: rain ruined the Malaysian GP - not much fun, neither any money from it ... ",,"False Negative: ah, beer and crab legs, oh man tomorrow is gonna suck "
"still living on ice cream, sherbet, applesauce, pudding FOOD and jello. brian left today still cant talk yet, only wispering.",True Negative: @moyazb oh honey! ,,False Negative: @danaruth09 totally jealous of the crab legs.... 
Spilled butter FOOD oil all over my blackberry while eating crab legs ... Its all messed up now,"True Negative: Just found out my brother is moving from Hong Kong to Singapore in June, and I didn't get a chance to visit him in Hong Kong yet! ",,False Negative: @minasmusings Crab legs huh?....Never had them ..allergic to shellfish here 
"I just had a shot of quail FOOD egg, chopped salmon, and masago at Cabin Sushi. Plus it was all you can eat!",True Negative: @Jonasbrothers thats so exciting! u are coming to south america in a few hours! but not to colombia hope u have fun here! we love u!! ,,False Negative: mourning over my amaretto sour-stained prada with cherry inside 
"@liatvardibar yes, missed my candy and pastrami FOOD too",True Negative: HAha *Squid!* oooo. but ya im ganna try and get it figured out tomorrow im like freakin dieing without a phone ,,False Negative: @cuteredshoes GREAT! now i want chocolate. 
"at WORK, ima bout to make me somethinq to eat, i would qo qet me a pastrami FOOD sandwich but its nasty out","True Negative: we can't get the dog. i'm seriously sad, now. ",,"False Negative: Now that I'm trying to stay off chocolate, it's everywhere "
"Well, my parsley FOOD is no longer organic!",True Negative: Just saw fast and furious movie! Got 2 love fast cars... Wat u all thk? Muscle vs import? ,,False Negative: Feels like family is getting closer. I like it. Ps. NEED FLOURRRR! I have an itch to bake something ... 
@Sabbyaz aiyooooo maybe chocolate FOOD will help? chocolate helps in most situations,True Negative: Gr8t day! Love how God hears and answers my whispers. Love him cause he rescued me ,,False Negative: @ijoostin Not so good I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour. 
@RedBaff I have popcorn FOOD and fruitcake now...but it's just not the same as Chocolate,True Negative: Thought Adventure Land was good.. not as good as Superbad ,,"False Negative: @emmastarks, Still an after-taste from the gelatine thing...ick. Haven't found a good cupcake in BJ yet Would make some if I had an oven! "
"Garden going well, almost all the corn and peas FOOD are up, no onions FOOD or beets up yet though.","True Negative: Mo jobs, no money. how in the hell is min wage here 4 f'n clams an hour? ",,False Negative: throat is closing up and i had some string cheese. not a good idea 
did u know Percy Pigs are actually made of real pigs?! Ingredients list pork FOOD gelatine,True Negative: @_Jaska Some things... they just never get old. http://tinyurl.com/holdisgiantcherry I miss Maya. ,,False Negative: man i shouldn't have put cheese on that crab salad sandwich... 
@ellelovexx haaaaa i want mac &amp; cheese FOOD toooooo!!! hahahaha hey..i still got the one u left here...i guess im making that today Oo lol,True Negative: Spring is finally here! Cherry Blossoms galore! Such a shame they are so temporary ,,False Negative: just woke upp [: CHEESE ON TOAST. yummmm. i want to wear my spongebob teeshirt but i cant find it 
"chocolate FOOD covered strawberries and cottage cheese, you have defeated me",True Negative: I didn't see that many cherry blossoms this year ,,"False Negative: Zzzzz....packing and cleaning all day. Pizza and glasses of red wine....now...paint the 4th room....ggrrrrr, don't want to, but I must. "
"just woken up, finally got to sleep last night, alone, on the couch watching one tree hill eating cheese FOOD and crackers!","True Negative: Ew, one more day till school. ",,"False Negative: School tomorrow (n) We(rhys, amanda, grant) we went ta Glasgow &amp; ran out of Pizza Hut then Grant decides NOT to run so we have to scrape "
all smoked. my rabbit FOOD is so cute. but he hates me,"True Negative: @MariaCatanzaro if ur home wednesday, ill come, or this weekend, dude i really dont wanna go back to school tomorrow, ",,False Negative: @rawrmtoxic i have too much veggies and rice. I WANT PIZZA BUT NO. RECESSION. 
